name,status,ms,synonym,related,positive,negative,summary
نماد بایکاح,A,1,"بایکاح,ح. کابلسازی‌ایران‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بترانس,A,1,"بترانس,ایران‌ ترانسفو",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بترانسح,A,1,"بترانسح,ح. ایران‌ ترانسفو",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بتک,A,1,"بتک,کابلسازی‌ تک‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بتکح,A,1,"بتکح,ح. کابلسازی‌ تک‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد برانسفو,A,1,"برانسفو,ترانسفورماتور توزیع زنگان",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بسویچ,A,1,"بسویچ,پارس‌سویچ‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بسویچح,A,1,"بسویچح,ح. پارس‌سویچ‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بشهاب,A,1,"بشهاب,لامپ‌ پارس‌ شهاب‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بشهابح,A,1,"بشهابح,ح. لامپ‌ پارس‌ شهاب‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بفجر,A,1,"بفجر,پتروشیمی فجر",,"بورس,سهام,شاخص,قرارداد",,"عرضه برق, گاز, بخاروآب گرم"
نماد بکاب,A,1,"بکاب,صنایع‌جوشکاب‌یزد",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بکابح,A,1,"بکابح,ح. صنایع‌جوشکاب‌یزد",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بکام,A,1,"بکام,کارخانجات تولیدی شهید قندی",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بکامح,A,1,"بکامح,ح. کارخانجات تولیدی شهید قندی",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بموتو,A,1,"بموتو,موتوژن‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بموتوح,A,1,"بموتوح,ح. موتوژن‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بنیرو,A,1,"بنیرو,نیروترانس‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بنیروح,A,1,"بنیروح,ح. نیروترانس‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بورس,A,1,"بورس,بورس اوراق بهادار تهران",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,فعالیتهای کمکی به نهادهای مالی واسط
نماد پارتا,A,1,"پارتا,مجتمع‌صنعتی‌آرتاویل‌تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پارتاح,A,1,"پارتاح,ح. مجتمع‌صنعتی‌آرتاویل‌تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پارسان,A,1,"پارسان,گسترش نفت و گاز پارسیان",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد پارسانح,A,1,"پارسانح,ح. گسترش نفت و گاز پارسیان",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد پارسیان,A,2,"پارسیان,بیمه پارسیان,بیمه",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد پارسیانح,A,1,"پارسیانح,ح. بیمه پارسیان",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد پاسا,A,1,"پاسا,ایران‌یاساتایرورابر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پاساح,A,1,"پاساح,ح. ایران‌یاساتایرورابر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پاکشو,A,1,"پاکشو,گروه صنعتی پاکشو",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد پتایر,A,1,"پتایر,ایران‌ تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پتایرح,A,1,"پتایرح,ح. ایران‌ تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پترول,A,1,"پترول,گروه پتروشیمی س. ایرانیان",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد پدرخش,A,1,"پدرخش,درخشان‌ تهران‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پدرخشح,A,1,"پدرخشح,ح. درخشان‌ تهران‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پدنا,A,1,"پدنا,تولیدی‌لاستیک‌دنا",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پدناح,A,1,"پدناح,ح. تولیدی‌لاستیک‌دنا",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پردیس,A,1,"پردیس,سرمایه گذاری پردیس",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد پردیسح,A,1,"پردیسح,ح. سرمایه گذاری پردیس",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,سرمایه گذاریها
نماد پسهند,A,1,"پسهند,صنایع‌ لاستیکی‌ سهند",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
