name,status,ms,synonym,related,positive,negative,summary
نماد شکلرح,A,1,"شکلرح,ح. نیروکلر",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شگل,A,1,"شگل,گلتاش‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شگلح,A,1,"شگلح,ح. گلتاش‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شلعاب,A,1,"شلعاب,لعابیران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شلعابح,A,1,"شلعابح,ح. لعابیران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شلوان,A,1,"شلوان,رنگ پارس الوان",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شمواد,A,1,"شمواد,تولیدمواداولیه الیاف‌مصنوعی‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شموادح,A,1,"شموادح,ح. مواداولیه‌الیاف‌مصنوعی‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شنفت,A,1,"شنفت,نفت‌ پارس‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شنفتح,A,1,"شنفتح,ح. نفت‌ پارس‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شوش,A,1,"شوش,هنکل‌ پاک‌ وش‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شوشح,A,1,"شوشح,ح. هنکل‌ پاک‌ وش‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شیراز,A,1,"شیراز,پتروشیمی‌شیراز",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شیرازح,A,1,"شیرازح,ح. پتروشیمی‌شیراز",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شیران,A,1,"شیران,س. صنایع‌شیمیایی‌ایران",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شیرانح,A,1,"شیرانح,ح. س. صنایع‌شیمیایی‌ایران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد غاذر,A,1,"غاذر,کشت‌وصنعت‌پیاذر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غاذرح,A,1,"غاذرح,ح. کشت‌وصنعت‌پیاذر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غالبر,A,1,"غالبر,لبنیات‌کالبر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غالبرح,A,1,"غالبرح,ح. لبنیات‌کالبر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبشهر,A,1,"غبشهر,صنعتی‌ بهشهر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبشهرح,A,1,"غبشهرح,ح. صنعتی‌ بهشهر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبهپاک,A,1,"غبهپاک,بهپاک‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبهپاکح,A,1,"غبهپاکح,ح. بهپاک‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبهنوش,A,1,"غبهنوش,بهنوش‌ ایران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غبهنوشح,A,1,"غبهنوشح,ح. بهنوش‌ ایران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غپاک,A,1,"غپاک,لبنیات‌ پاک‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غپاکح,A,1,"غپاکح,ح. لبنیات‌ پاک‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غپینو,A,1,"غپینو,پارس‌ مینو",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غپینوح,A,1,"غپینوح,ح. پارس‌ مینو",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غچین,A,1,"غچین,کشت‌ و صنعت‌ چین‌ چین",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غچینح,A,1,"غچینح,ح. کشت‌ و صنعت‌ چین‌ چین",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غدام,A,1,"غدام,خوراک‌ دام‌ پارس‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غدامح,A,1,"غدامح,ح. خوراک‌ دام‌ پارس‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غدشت,A,1,"غدشت,دشت‌ مرغاب‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غدشتح,A,1,"غدشتح,ح. دشت‌ مرغاب‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غساسا,A,1,غساسا,صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غساساح,A,1,"غساساح,ح. ساسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غسالم,A,1,"غسالم,سالمین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غسالمح,A,1,"غسالمح,ح. ‌سالمین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشاذر,A,1,"غشاذر,پگاه‌آذربایجان‌غربی‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشاذرح,A,1,"غشاذرح,ح. ‌پگاه‌آذربایجان‌غربی‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشان,A,1,"غشان,شیرپاستوریزه‌پگاه‌خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشانح,A,1,"غشانح,ح. شیرپاستوریزه‌پگاه‌خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشصفا,A,1,"غشصفا,شیرپاستوریزه‌پگاه‌اصفهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشصفاح,A,1,"غشصفاح,ح. شیرپاستوریزه‌پگاه‌اصفهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشهد,A,1,"غشهد,شهد ایران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غشهدح,A,1,"غشهدح,ح. شهد ایران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غگرجی,A,1,"غگرجی,بیسکویت‌ گرجی‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غگرجیح,A,1,"غگرجیح,ح. بیسکویت‌ گرجی‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غگل,A,1,"غگل,گلوکوزان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غگلح,A,1,"غگلح,ح. گلوکوزان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غمارگ,A,1,"غمارگ,مارگارین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غمارگح,A,1,"غمارگح,ح. مارگارین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غمهرا,A,1,"غمهرا,تولیدی‌مهرام‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غمهراح,A,1,"غمهراح,ح. تولیدی‌مهرام‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غناب,A,1,"غناب,روغن‌ نباتی‌ ناب‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غنابح,A,1,"غنابح,ح. روغن‌ نباتی‌ ناب‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غنوش,A,1,"غنوش,نوش‌ مازندران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غنوشح,A,1,"غنوشح,ح. نوش‌مازندران‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غیوان,A,1,غیوان,صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد غیوانح,A,1,"غیوانح,ح. کیوان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,محصولات غذایی و آشامیدنی به جز قند و شکر
نماد فاذر,A,1,"فاذر,صنایع‌ آذرآب‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فاذرح,A,1,"فاذرح,ح. صنایع‌ آذرآب‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فاراک,A,1,"فاراک,ماشین‌ سازی‌ اراک‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فاراکح,A,1,"فاراکح,ح. ماشین‌ سازی‌ اراک‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فارس,A,1,"فارس,صنایع پتروشیمی خلیج فارس",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد فاسمین,A,1,"فاسمین,کالسیمین‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فاسمینح,A,1,"فاسمینح,ح. کالسیمین‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فالوم,A,1,"فالوم,آلومتک‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فالومح,A,1,"فالومح,ح. آلومتک‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فاما,A,1,"فاما,صنعتی‌ آما",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فاماح,A,1,"فاماح,ح. صنعتی‌ آما",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فاهواز,A,1,"فاهواز,نوردولوله‌ اهواز",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فاهوازح,A,1,"فاهوازح,ح. نوردولوله‌ اهواز",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فایرا,A,1,"فایرا,آلومینیوم‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فایراح,A,1,"فایراح,ح. آلومینیوم‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فباهنر,A,1,"فباهنر,مس‌ شهیدباهنر",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فباهنرح,A,1,"فباهنرح,ح. مس‌ شهیدباهنر",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فبستم,A,1,"فبستم,صنایع‌بسته‌بندی‌ مشهد",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فبستمح,A,1,"فبستمح,ح. صنایع‌بسته‌بندی‌ مشهد",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فبیرا,A,1,"فبیرا,بسته‌ بندی‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فبیراح,A,1,"فبیراح,ح. بسته‌ بندی‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فپارس,A,1,"فپارس,آلومینیم‌ پارس‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فپارسح,A,1,"فپارسح,ح. آلومینیم‌ پارس‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فپنتا,A,1,"فپنتا,سپنتا",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فپنتاح,A,1,"فپنتاح,ح. سپنتا",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فجام,A,1,"فجام,جام‌دارو",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فجامح,A,1,"فجامح,ح. جام‌دارو",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فجر,A,2,"فجر,فولاد امیرکبیرکاشان,فولاد",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فجرح,A,1,"فجرح,ح. فولاد امیر کبیر کاشان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فجوش,A,1,"فجوش,جوش‌ و اکسیژن‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فجوشح,A,1,"فجوشح,ح. جوش‌ و اکسیژن‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فخاس,A,1,"فخاس,فولاد خراسان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فخاسح,A,1,"فخاسح,ح. فولاد خراسان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فخوز,A,1,"فخوز,فولاد خوزستان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فخوزح,A,1,"فخوزح,ح. فولاد خوزستان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فرآور,A,1,"فرآور,فرآوری‌موادمعدنی‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فرآورح,A,1,"فرآورح,ح. فرآوری‌موادمعدنی‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فروس,A,1,"فروس,فروسیلیس‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فروسح,A,1,"فروسح,ح. فروسیلیس‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فروم,A,1,"فروم,تولیدفرومولیبدن‌کرمان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فرومح,A,1,"فرومح,ح. تولیدفرومولیبدن‌کرمان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فساز,A,1,"فساز,لوله‌سازی‌اهواز",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسپا,A,1,"فسپا,گروه‌صنعتی‌سپاهان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسپاح,A,1,"فسپاح,ح. گروه‌صنعتی‌سپاهان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسدید,A,1,"فسدید,لوله و تجهیزات سدید",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسدیدح,A,1,"فسدیدح,ح. لوله و تجهیزات سدید",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسرب,A,1,"فسرب,ملی‌ سرب‌وروی‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسربح,A,1,"فسربح,ح. ملی‌ سرب‌وروی‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فسلیر,A,1,"فسلیر,سولیران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فسلیرح,A,1,"فسلیرح,ح. سولیران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فلامی,A,1,"فلامی,لامیران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فلامیح,A,1,"فلامیح,ح. لامیران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فلوله,A,1,"فلوله,لوله‌وماشین‌سازی‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فلولهح,A,1,"فلولهح,ح. لوله‌وماشین‌سازی‌ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فمتال,A,1,"فمتال,پارس‌ متال‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فمتالح,A,1,"فمتالح,ح. پارس‌ متال‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فمراد,A,1,"فمراد,آلومراد",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فمرادح,A,1,"فمرادح,ح. آلومراد",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فملی,A,1,"فملی,ملی‌ صنایع‌ مس‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فملیح,A,1,"فملیح,ح. ملی‌ صنایع‌ مس‌ ایران‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فنرژی,A,1,"فنرژی,گسترش‌صنایع‌انرژی‌آذرآب‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فنرژیح,A,1,"فنرژیح,ح. گسترش‌صنایع‌انرژی‌آذرآب‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,ساخت محصولات فلزی
نماد فنوال,A,1,"فنوال,نورد آلومینیوم‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فنوالح,A,1,"فنوالح,ح. نورد آلومینیوم‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فنورد,A,1,"فنورد,نوردوقطعات‌ فولادی‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فنوردح,A,1,"فنوردح,ح. نوردوقطعات‌ فولادی‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فوکا,A,1,"فوکا,فولادکاویان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فوکاح,A,1,"فوکاح,ح. فولادکاویان‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فولاد,A,1,"فولاد,فولاد مبارکه اصفهان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فولادح,A,1,"فولادح,ح. فولاد مبارکه اصفهان",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فولاژ,A,1,"فولاژ,فولاد آلیاژی ایران",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد فولاژح,A,1,"فولاژح,ح. فولاد آلیاژی ایران",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,فلزات اساسی
نماد قپارس,A,1,"قپارس,قندپارس‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قپارسح,A,1,"قپارسح,ح. قندپارس‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قپیرا,A,1,"قپیرا,فرآورده‌های‌غدایی‌وقندپیرانشهر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قپیراح,A,1,"قپیراح,ح. قندپیرانشهر",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قثابت,A,1,"قثابت,قند ثابت‌ خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قثابتح,A,1,"قثابتح,ح. قند ثابت‌ خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قجام,A,1,"قجام,فرآوردههای غذایی وقندتربت‌جام‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قجامح,A,1,"قجامح,ح. غذایی و قنتربت‌جام‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قزوین,A,1,"قند قزوین,کارخانجات‌ قند قزوین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قزوینح,A,1,"قزوینح,ح. کارخانجات‌ قند قزوین‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قستان,A,1,"قستان,قند قهستان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قستانح,A,1,"قستانح,ح. قند قهستان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قستون,A,1,"قستون,قند بیستون‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قستونح,A,1,"قستونح,ح. قند بیستون‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشرین,A,1,"قشرین,قند شیرین‌ خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشرینح,A,1,"قشرینح,ح. قند شیرین‌ خراسان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشکر,A,1,"قشکر,شکرشاهرود",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشکرح,A,1,"قشکرح,ح. ‌ شکرشاهرود",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشهد,A,1,"قشهد,شهد",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشهدح,A,1,"قشهدح,ح. شهد",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشیر,A,1,"قشیر,قندشیروان‌, قوچان‌ وبجنورد",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قشیرح,A,1,"قشیرح,ح. قندشیروان‌, قوچان‌ وبجنورد",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قصفها,A,1,"قصفها,قنداصفهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قصفهاح,A,1,"قصفهاح,ح. قنداصفهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قلرست,A,1,"قلرست,قند لرستان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قلرستح,A,1,"قلرستح,ح. قند لرستان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قمرو,A,1,"قمرو,قند مرودشت‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قمروح,A,1,"قمروح,ح. قند مرودشت‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قنقش,A,1,"قنقش,قندنقش‌جهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قنقشح,A,1,"قنقشح,ح. قندنقش‌جهان‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
نماد قنیشا,A,1,"قنیشا,قند نیشابور",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,قند و شکر
